edge_id,from_event_id,to_event_id,relation_type,basis_reference,track_id
EDG000001,EVT0001,EVT0002,before,창세기 2:4,track_main
EDG000002,EVT0002,EVT0003,before,창세기 4:25,track_main
EDG000003,EVT0003,EVT0004,before,창세기 7:1,track_main
EDG000004,EVT0004,EVT0005,before,창세기 10:1,track_main
EDG000005,EVT0005,EVT0006,before,창세기 12:1,track_main
EDG000006,EVT0006,EVT0007,before,창세기 14:17,track_main
EDG000007,EVT0007,EVT0008,before,창세기 18:1,track_main
EDG000008,EVT0008,EVT0009,before,창세기 19:30,track_main
EDG000009,EVT0009,EVT0010,before,창세기 21:22,track_main
EDG000010,EVT0010,EVT0011,before,창세기 25:1,track_main
EDG000011,EVT0011,EVT0012,before,창세기 26:1,track_main
EDG000012,EVT0012,EVT0013,before,창세기 28:6,track_main
EDG000013,EVT0013,EVT0014,before,창세기 29:31,track_main
EDG000014,EVT0014,EVT0015,before,창세기 32:13,track_main
EDG000015,EVT0015,EVT0016,before,창세기 35:16,track_main
EDG000016,EVT0016,EVT0017,before,창세기 37:1,track_main
EDG000017,EVT0017,EVT0018,before,창세기 40:1,track_main
EDG000018,EVT0018,EVT0019,before,창세기 43:1,track_main
EDG000019,EVT0019,EVT0020,before,창세기 46:1,track_main
EDG000020,EVT0020,EVT0021,before,창세기 49:1,track_main
EDG000021,EVT0021,EVT0022,before,출애굽기 2:1,track_main
EDG000022,EVT0022,EVT0023,before,출애굽기 4:18,track_main
EDG000023,EVT0023,EVT0024,before,출애굽기 6:28,track_main
EDG000024,EVT0024,EVT0025,before,출애굽기 8:16,track_main
EDG000025,EVT0025,EVT0026,before,출애굽기 10:1,track_main
EDG000026,EVT0026,EVT0027,before,출애굽기 12:15,track_main
EDG000027,EVT0027,EVT0028,before,출애굽기 13:1,track_main
EDG000028,EVT0028,EVT0029,before,출애굽기 15:1,track_main
EDG000029,EVT0029,EVT0030,before,출애굽기 17:8,track_main
EDG000030,EVT0030,EVT0031,before,출애굽기 20:1,track_main
EDG000031,EVT0031,EVT0032,before,출애굽기 21:28,track_main
EDG000032,EVT0032,EVT0033,before,출애굽기 23:10,track_main
EDG000033,EVT0033,EVT0034,before,출애굽기 25:1,track_main
EDG000034,EVT0034,EVT0035,before,출애굽기 26:1,track_main
EDG000035,EVT0035,EVT0036,before,출애굽기 28:15,track_main
EDG000036,EVT0036,EVT0037,before,출애굽기 30:1,track_main
EDG000037,EVT0037,EVT0038,before,출애굽기 31:1,track_main
EDG000038,EVT0038,EVT0039,before,출애굽기 33:1,track_main
EDG000039,EVT0039,EVT0040,before,출애굽기 34:29,track_main
EDG000040,EVT0040,EVT0041,before,출애굽기 35:30,track_main
EDG000041,EVT0041,EVT0042,before,출애굽기 37:17,track_main
EDG000042,EVT0042,EVT0043,before,출애굽기 38:9,track_main
EDG000043,EVT0043,EVT0044,before,출애굽기 39:32,track_main
EDG000044,EVT0044,EVT0045,before,민수기 1:47,track_main
EDG000045,EVT0045,EVT0046,before,민수기 3:14,track_main
EDG000046,EVT0046,EVT0047,before,민수기 4:34,track_main
EDG000047,EVT0047,EVT0048,before,민수기 6:1,track_main
EDG000048,EVT0048,EVT0049,before,민수기 8:5,track_main
EDG000049,EVT0049,EVT0050,before,민수기 11:1,track_main
EDG000050,EVT0050,EVT0051,before,민수기 13:1,track_main
EDG000051,EVT0051,EVT0052,before,민수기 14:39,track_main
EDG000052,EVT0052,EVT0053,before,민수기 16:36,track_main
EDG000053,EVT0053,EVT0054,before,민수기 18:8,track_main
EDG000054,EVT0054,EVT0055,before,민수기 20:1,track_main
EDG000055,EVT0055,EVT0056,before,민수기 21:4,track_main
EDG000056,EVT0056,EVT0057,before,민수기 22:21,track_main
EDG000057,EVT0057,EVT0058,before,민수기 24:10,track_main
EDG000058,EVT0058,EVT0059,before,민수기 27:12,track_main
EDG000059,EVT0059,EVT0060,before,민수기 28:16,track_main
EDG000060,EVT0060,EVT0061,before,민수기 30:1,track_main
EDG000061,EVT0061,EVT0062,before,민수기 32:1,track_main
EDG000062,EVT0062,EVT0063,before,민수기 35:1,track_main
EDG000063,EVT0063,EVT0064,before,신명기 1:9,track_main
EDG000064,EVT0064,EVT0065,before,신명기 2:26,track_main
EDG000065,EVT0065,EVT0066,before,신명기 4:15,track_main
EDG000066,EVT0066,EVT0067,before,신명기 5:22,track_main
EDG000067,EVT0067,EVT0068,before,신명기 7:12,track_main
EDG000068,EVT0068,EVT0069,before,신명기 10:12,track_main
EDG000069,EVT0069,EVT0070,before,신명기 12:29,track_main
EDG000070,EVT0070,EVT0071,before,신명기 15:1,track_main
EDG000071,EVT0071,EVT0072,before,신명기 16:13,track_main
EDG000072,EVT0072,EVT0073,before,신명기 18:9,track_main
EDG000073,EVT0073,EVT0074,before,신명기 19:15,track_main
EDG000074,EVT0074,EVT0075,before,신명기 21:18,track_main
EDG000075,EVT0075,EVT0076,before,신명기 23:9,track_main
EDG000076,EVT0076,EVT0077,before,신명기 25:5,track_main
EDG000077,EVT0077,EVT0078,before,신명기 27:1,track_main
EDG000078,EVT0078,EVT0079,before,신명기 29:1,track_main
EDG000079,EVT0079,EVT0080,before,신명기 31:30,track_main
EDG000080,EVT0080,EVT0081,before,여호수아 1:10,track_main
EDG000081,EVT0081,EVT0082,before,여호수아 5:2,track_main
EDG000082,EVT0082,EVT0083,before,여호수아 8:30,track_main
EDG000083,EVT0083,EVT0084,before,여호수아 11:1,track_main
EDG000084,EVT0084,EVT0085,before,여호수아 13:8,track_main
EDG000085,EVT0085,EVT0086,before,여호수아 14:1,track_main
EDG000086,EVT0086,EVT0087,before,여호수아 16:1,track_main
EDG000087,EVT0087,EVT0088,before,여호수아 18:1,track_main
EDG000088,EVT0088,EVT0089,before,여호수아 19:24,track_main
EDG000089,EVT0089,EVT0090,before,여호수아 20:1,track_main
EDG000090,EVT0090,EVT0091,before,여호수아 23:1,track_main
EDG000091,EVT0091,EVT0092,before,사사기 1:8,track_main
EDG000092,EVT0092,EVT0093,before,사사기 1:27,track_main
EDG000093,EVT0093,EVT0094,before,사사기 3:7,track_main
EDG000094,EVT0094,EVT0095,before,사사기 5:1,track_main
EDG000095,EVT0095,EVT0096,before,사사기 9:1,track_main
EDG000096,EVT0096,EVT0097,before,사사기 11:34,track_main
EDG000097,EVT0097,EVT0098,before,사사기 14:1,track_main
EDG000098,EVT0098,EVT0099,before,사사기 16:23,track_main
EDG000099,EVT0099,EVT0100,before,사사기 20:17,track_main
EDG000100,EVT0100,EVT0101,before,룻기 2:1,track_main
EDG000101,EVT0101,EVT0102,before,사무엘상 1:9,track_main
EDG000102,EVT0102,EVT0103,before,사무엘상 2:18,track_main
EDG000103,EVT0103,EVT0104,before,사무엘상 4:19,track_main
EDG000104,EVT0104,EVT0105,before,사무엘상 7:3,track_main
EDG000105,EVT0105,EVT0106,before,사무엘상 11:1,track_main
EDG000106,EVT0106,EVT0107,before,사무엘상 14:1,track_main
EDG000107,EVT0107,EVT0108,before,사무엘상 15:1,track_main
EDG000108,EVT0108,EVT0109,before,사무엘상 17:1,track_main
EDG000109,EVT0109,EVT0110,before,사무엘상 18:6,track_main
EDG000110,EVT0110,EVT0111,before,사무엘상 22:1,track_main
EDG000111,EVT0111,EVT0112,before,사무엘상 25:1,track_main
EDG000112,EVT0112,EVT0113,before,사무엘상 29:1,track_main
EDG000113,EVT0113,EVT0114,before,사무엘하 1:17,track_main
EDG000114,EVT0114,EVT0115,before,사무엘하 3:6,track_main
EDG000115,EVT0115,EVT0116,before,사무엘하 5:1,track_main
EDG000116,EVT0116,EVT0117,before,사무엘하 7:1,track_main
EDG000117,EVT0117,EVT0118,before,사무엘하 10:1,track_main
EDG000118,EVT0118,EVT0119,before,사무엘하 13:1,track_main
EDG000119,EVT0119,EVT0120,before,사무엘하 15:1,track_main
EDG000120,EVT0120,EVT0121,before,사무엘하 17:1,track_main
EDG000121,EVT0121,EVT0122,before,사무엘하 19:1,track_main
EDG000122,EVT0122,EVT0123,before,사무엘하 20:1,track_main
EDG000123,EVT0123,EVT0124,before,사무엘하 23:1,track_main
EDG000124,EVT0124,EVT0125,before,열왕기상 1:5,track_main
EDG000125,EVT0125,EVT0126,before,열왕기상 2:26,track_main
EDG000126,EVT0126,EVT0127,before,열왕기상 4:1,track_main
EDG000127,EVT0127,EVT0128,before,열왕기상 7:1,track_main
