evidence_id,event_id,evidence_tier,reference,verse_text_kr,translation,is_parallel,note
EVD0000001,EVT0001,direct,창세기 2:4,이것이 천지가 창조될 때에 하늘과 땅의 내력이니 여호와 하나님이 땅과 하늘을 만드시던 날에,개역개정,false,
EVD0000002,EVT0001,direct,창세기 2:5,여호와 하나님이 땅에 비를 내리지 아니하셨고 땅을 갈 사람도 없었으므로 들에는 초목이 아직 없었고 밭에는 채소가 나지 아니하였으며,개역개정,false,
EVD0000003,EVT0001,direct,창세기 2:6,안개만 땅에서 올라와 온 지면을 적셨더라,개역개정,false,
EVD0000004,EVT0001,direct,창세기 2:7,여호와 하나님이 땅의 흙으로 사람을 지으시고 생기를 그 코에 불어넣으시니 사람이 생령이 되니라,개역개정,false,
EVD0000005,EVT0001,direct,창세기 2:8,여호와 하나님이 동방의 에덴에 동산을 창설하시고 그 지으신 사람을 거기 두시니라,개역개정,false,
EVD0000006,EVT0001,direct,창세기 2:9,여호와 하나님이 그 땅에서 보기에 아름답고 먹기에 좋은 나무가 나게 하시니 동산 가운데에는 생명 나무와 선악을 알게 하는 나무도 있더라,개역개정,false,
EVD0000007,EVT0001,direct,창세기 2:10,강이 에덴에서 흘러 나와 동산을 적시고 거기서부터 갈라져 네 근원이 되었으니,개역개정,false,
EVD0000008,EVT0001,direct,창세기 2:11,첫째의 이름은 비손이라 금이 있는 하윌라 온 땅을 둘렀으며,개역개정,false,
EVD0000009,EVT0001,direct,창세기 2:12,그 땅의 금은 순금이요 그 곳에는 베델리엄과 호마노도 있으며,개역개정,false,
EVD0000010,EVT0001,direct,창세기 2:13,둘째 강의 이름은 기혼이라 구스 온 땅을 둘렀고,개역개정,false,
EVD0000011,EVT0001,direct,창세기 2:14,셋째 강의 이름은 힛데겔이라 앗수르 동쪽으로 흘렀으며 넷째 강은 유브라데더라,개역개정,false,
EVD0000012,EVT0001,direct,창세기 2:15,여호와 하나님이 그 사람을 이끌어 에덴 동산에 두어 그것을 경작하며 지키게 하시고,개역개정,false,
EVD0000013,EVT0001,direct,창세기 2:16,여호와 하나님이 그 사람에게 명하여 이르시되 동산 각종 나무의 열매는 네가 임의로 먹되,개역개정,false,
EVD0000014,EVT0001,direct,창세기 2:17,선악을 알게 하는 나무의 열매는 먹지 말라 네가 먹는 날에는 반드시 죽으리라 하시니라,개역개정,false,
EVD0000015,EVT0001,direct,창세기 2:18,여호와 하나님이 이르시되 사람이 혼자 사는 것이 좋지 아니하니 내가 그를 위하여 돕는 배필을 지으리라 하시니라,개역개정,false,
EVD0000016,EVT0001,direct,창세기 2:19,여호와 하나님이 흙으로 각종 들짐승과 공중의 각종 새를 지으시고 아담이 무엇이라고 부르나 보시려고 그것들을 그에게로 이끌어 가시니 아담이 각 생물을 부르는 것이 곧 그 이름이 되었더라,개역개정,false,
EVD0000017,EVT0001,direct,창세기 2:20,아담이 모든 가축과 공중의 새와 들의 모든 짐승에게 이름을 주니라 아담이 돕는 배필이 없으므로,개역개정,false,
EVD0000018,EVT0001,direct,창세기 2:21,여호와 하나님이 아담을 깊이 잠들게 하시니 잠들매 그가 그 갈빗대 하나를 취하고 살로 대신 채우시고,개역개정,false,
EVD0000019,EVT0001,direct,창세기 2:22,여호와 하나님이 아담에게서 취하신 그 갈빗대로 여자를 만드시고 그를 아담에게로 이끌어 오시니,개역개정,false,
EVD0000020,EVT0001,direct,창세기 2:23,아담이 이르되 이는 내 뼈 중의 뼈요 살 중의 살이라 이것을 남자에게서 취하였은즉 여자라 부르리라 하니라,개역개정,false,
EVD0000021,EVT0001,direct,창세기 2:24,이러므로 남자가 부모를 떠나 그의 아내와 합하여 둘이 한 몸을 이룰지로다,개역개정,false,
EVD0000022,EVT0001,direct,창세기 2:25,아담과 그의 아내 두 사람이 벌거벗었으나 부끄러워하지 아니하니라,개역개정,false,
EVD0000023,EVT0002,direct,창세기 4:25,아담이 다시 자기 아내와 동침하매 그가 아들을 낳아 그의 이름을 셋이라 하였으니 이는 하나님이 내게 가인이 죽인 아벨 대신에 다른 씨를 주셨다 함이며,개역개정,false,
EVD0000024,EVT0002,direct,창세기 4:26,셋도 아들을 낳고 그의 이름을 에노스라 하였으며 그 때에 사람들이 비로소 여호와의 이름을 불렀더라,개역개정,false,
EVD0000025,EVT0003,direct,창세기 7:1,여호와께서 노아에게 이르시되 너와 네 온 집은 방주로 들어가라 이 세대에서 네가 내 앞에 의로움을 내가 보았음이니라,개역개정,false,
EVD0000026,EVT0003,direct,창세기 7:2,"너는 모든 정결한 짐승은 암수 일곱씩, 부정한 것은 암수 둘씩을 네게로 데려오며",개역개정,false,
EVD0000027,EVT0003,direct,창세기 7:3,공중의 새도 암수 일곱씩을 데려와 그 씨를 온 지면에 유전하게 하라,개역개정,false,
EVD0000028,EVT0003,direct,창세기 7:4,지금부터 칠 일이면 내가 사십 주야를 땅에 비를 내려 내가 지은 모든 생물을 지면에서 쓸어버리리라,개역개정,false,
EVD0000029,EVT0003,direct,창세기 7:5,노아가 여호와께서 자기에게 명하신 대로 다 준행하였더라,개역개정,false,
EVD0000030,EVT0003,direct,창세기 7:6,홍수가 땅에 있을 때에 노아가 육백 세라,개역개정,false,
EVD0000031,EVT0003,direct,창세기 7:7,노아는 아들들과 아내와 며느리들과 함께 홍수를 피하여 방주에 들어갔고,개역개정,false,
EVD0000032,EVT0003,direct,창세기 7:8,정결한 짐승과 부정한 짐승과 새와 땅에 기는 모든 것은,개역개정,false,
EVD0000033,EVT0003,direct,창세기 7:9,하나님이 노아에게 명하신 대로 암수 둘씩 노아에게 나아와 방주로 들어갔으며,개역개정,false,
EVD0000034,EVT0003,direct,창세기 7:10,칠 일 후에 홍수가 땅에 덮이니,개역개정,false,
